Dataset,Coarsening Ratio,Gc_Size,G_Size,Fraction
cora,0.1,1816612,15720940,0.11555365009980319
cora,0.3,4836574,15720940,0.3076517053051535
cora,0.5,7616168,15720940,0.4844600895366308
cora,0.7,10536802,15720940,0.6702399474840562
citeseer,0.1,7960674,49461785,0.1609459504949124
citeseer,0.3,14361030,49461785,0.2903459711371112
citeseer,0.5,21350874,49461785,0.4316640412391102
citeseer,0.7,27184842,49461785,0.5496130396426251
pubmed,0.1,4464584,41069255,0.10870866783436904
pubmed,0.3,12710650,41069255,0.30949307456392866
pubmed,0.5,20806822,41069255,0.506627695096977
pubmed,0.7,28927124,41069255,0.7043498597673613
dblp,0.1,11922342,118032716,0.10100879149472422
dblp,0.3,33296490,118032716,0.28209543191397884
dblp,0.5,54766084,118032716,0.46399071254108903
dblp,0.7,76272006,118032716,0.6461937722419265
Physics,0.1,118590028,1169348587,0.10141546269299079
Physics,0.3,352069832,1169348587,0.30108201772684917
Physics,0.5,585238450,1169348587,0.500482453655199
Physics,0.7,818709052,1169348587,0.7001411393504339
WikiCS,0.1,2071576,21311547,0.09720439346801056
WikiCS,0.3,5763254,21311547,0.270428702336813
WikiCS,0.5,8931078,21311547,0.41907225223959577
WikiCS,0.7,12580034,21311547,0.5902919201501421
