dataset     ,baseline ,coarsening_method       ,coarsening_ratio ,extra_node ,cluster_node ,hidden ,num_test_nodes ,num_layers ,batch_size ,lr     ,ave_inf_time         ,ave_inf_loss        ,inf_loss_std        ,acc

PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.5185496556131464   ,0.49224239587783813 ,0.0                 ,1.0
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.017335656727329965 ,0.6283307572205862  ,0.23837842309455243 ,7.2
PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.4117851633774607   ,0.39163556694984436 ,0.0                 ,1.0
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.023195428711375553 ,0.6371583836419242  ,0.27217790145862336 ,6.6
PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.5180444968374152   ,0.40990525484085083 ,0.0                 ,1.0
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.0199209925090297   ,0.6466501963990076  ,0.24787179200613363 ,6.7
# corrected
PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.5158514474567614   ,0.6852020189166069  ,0.3685425032406614  ,0.55
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.031046804628874127 ,0.6563791573047638  ,0.33888566192922015 ,0.65
PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.5875254053818552   ,0.6009145736694336  ,0.3179589414982748  ,0.75
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.10701885976289448  ,0.5811864554882049  ,0.3116553309810532  ,0.8
PROTEINS    ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.5078150473142925   ,0.6157958835363389  ,0.35349843879140586 ,0.7
PROTEINS    ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.025062535938463713 ,0.6047099158167839  ,0.325395499799769   ,0.7
AIDS        ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.426138626901727    ,0.467823751270771   ,0.3469777027103894  ,0.85
AIDS        ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.010161562969810084 ,0.46511025726795197 ,0.35326719264909445 ,0.85
AIDS        ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.42681858414097834  ,0.4689018756151199  ,0.34801347609348504 ,0.85
AIDS        ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.011885956714027807 ,0.4665502950549126  ,0.35381123105124196 ,0.85
AIDS        ,True     ,None                    ,None             ,None       ,None         ,   512 ,            20 ,         2 ,None       ,0.01   ,0.4476585388183594   ,0.5709243953227997  ,0.41862595161624466 ,0.75
AIDS        ,False    ,variation_neighborhoods ,0.3              ,False      ,True         ,   512 ,            20 ,         2 ,128        ,0.0001 ,0.012562965091906096 ,0.5715939119458199  ,0.42636385192669296 ,0.75
