dataset,baseline,exp_setup,coarsening_method,coarsening_ratio,extra_nodes,cluster_node,hidden,num_test_nodes,num_layers,batch_size,lr,ave_inf_time,ave_inf_loss,inf_loss_std
chameleon,True,Gc_train_2_Gs_infer,None,None,None,None,512,20,2,None,0.01,0.0027543783187866213,1.2557885885238647,1.3850836775284803
chameleon,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,True,False,512,20,2,2,0.01,0.0019268035888671876,1.269305157661438,1.4616676108764273
chameleon,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,True,False,512,20,2,128,0.01,0.00193709135055542,0.7299527168273926,0.7898752827726353
chameleon,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,False,True,512,20,2,128,0.01,0.0019168734550476074,0.7094549536705017,0.5258175916051433
squirrel,True,Gc_train_2_Gs_infer,None,None,None,None,512,20,2,None,0.01,0.00814119577407837,1.0515795707702638,0.9262917987994588
squirrel,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,False,True,512,20,2,128,0.01,0.001910102367401123,1.2971792936325073,0.9287862762373551
squirrel,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,True,False,512,20,2,128,0.01,0.002066338062286377,1.4376231193542481,1.5730219549647073
crocodile,True,Gc_train_2_Gs_infer,None,None,None,None,512,20,2,None,0.01,0.007062113285064698,1.3949599146842957,1.015614095401038
crocodile,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,True,False,512,20,2,128,0.01,0.0019454360008239746,1.4961784720420837,1.2321304831168631
crocodile,False,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,False,True,512,20,2,128,0.01,0.00192108154296875,1.2737280249595642,1.135460368092276
