dataset            ,baseline ,experiment ,exp_setup           ,coarsening_method       ,coarsening_ratio ,extra_node ,cluster_node ,hidden ,num_test_samples ,num_layers ,batch_size ,lr    ,avg_inf_time           ,avg_loss            ,acc
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,              20 ,         2 ,None       ,0.01  , 0.0019870180832712273 ,0.9890360275399871  ,0.7
cora               ,False    ,fixed      ,Gc_train_2_Gs_infer ,variation_neighborhoods ,0.5              ,False      ,True         ,   512 ,              20 ,         2 ,128        ,0.001 , 0.0016373082211143092 ,1.685974234342575   ,0.55
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,               5 ,         2 ,None       ,0.01  , 0.0018264055252075195 ,1.292208341427613   ,0.4
cora               ,False    ,fixed      ,Gc_train_2_Gs_infer ,variation_neighborhoods ,0.5              ,False      ,True         ,   512 ,               5 ,         2 ,128        ,0.001 , 0.0018810033798217773 ,1.53609459400177    ,0.8
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,               5 ,         2 ,None       ,0.01  , 0.0018289685249328613 ,0.3104414145462215  ,1.0
cora               ,False    ,fixed      ,Gc_train_2_Gs_infer ,variation_neighborhoods ,0.5              ,False      ,True         ,   512 ,               5 ,         2 ,128        ,0.001 , 0.0018658638000488281 ,1.531175923347473   ,0.6
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,               5 ,         2 ,None       ,0.01  , 0.0018884539604187012 ,0.49326777905225755 ,1.0
cora               ,False    ,fixed      ,Gc_train_2_Gs_infer ,variation_neighborhoods ,0.5              ,False      ,True         ,   512 ,               5 ,         2 ,128        ,0.001 , 0.0019603371620178223 ,1.71228768825531    ,0.6
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,              20 ,         2 ,None       ,0.01  , 0.0016885180222360712 ,0.7959594111016486  ,0.8
cora               ,False    ,fixed      ,Gs_train_2_Gs_infer ,variation_neighborhoods ,0.1              ,False      ,True         ,   512 ,              20 ,         2 ,128        ,0.001 , 0.008326241844578794  ,0.9732911495583096  ,0.75
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,              20 ,         2 ,None       ,0.01  , 0.0016804870806242291 ,0.8100067325867712  ,0.75
cora               ,False    ,fixed      ,Gs_train_2_Gs_infer ,variation_neighborhoods ,0.1              ,False      ,True         ,   512 ,              20 ,         2 ,128        ,0.001 , 0.008414933556004575  ,1.2028296234435403  ,0.75
cora               ,True     ,fixed      ,None                ,None                    ,None             ,None       ,None         ,   512 ,              10 ,         2 ,None       ,0.01  , 0.02610182762145996   ,0.4709790807683021  ,0.9
cora               ,False    ,fixed      ,Gs_train_2_Gs_infer ,variation_neighborhoods ,0.1              ,False      ,True         ,   512 ,              10 ,         2 ,128        ,0.001 , 0.005663447909884983  ,1.1484253240816542  ,0.7
