dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers1,num_layers2,epochs1,epochs2,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.001,10.721415511469047,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.01,78.77398630777995,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.1,787.855448811849,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.001,1.7972975611686706,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.01,8.341914105415345,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.1,48.44673671722412,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.001,1.7861095666885376,0.22727272727272727
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.01,4.216733121871949,0.18181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.1,14.796819877624511,0.3181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.001,1.7415342330932617,0.3181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.01,3.225770115852356,0.045454545454545456
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.1,4.065581798553467,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.001,17.676858474879214,1.0
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.01,187.65237248738606,0.5
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.1,1152.8538134765624,0.0
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.001,1.8932826519012451,0.3333333333333333
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.01,44.73059797286987,0.16666666666666666
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.1,162.27936019897462,0.16666666666666666
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.001,1.7600146532058716,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.01,7.737306308746338,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.1,259.2623260498047,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.001,1.8054724335670471,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.01,1.8695623278617859,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.1,119.23407745361328,0.22727272727272727
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.001,23.45626943707466,0.0
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.01,371.1093302408854,0.5
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.1,1410.9545157877603,0.5
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.001,1.8135483860969543,0.16666666666666666
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.01,26.765905094146728,0.16666666666666666
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.1,430.09833374023435,0.16666666666666666
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.001,1.8349079608917236,0.13636363636363635
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.01,8.31258659362793,0.22727272727272727
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.1,312.6658142089844,0.13636363636363635
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,128,0.001,1.789314329624176,0.22727272727272727
