dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers1,num_layers2,epochs1,epochs2,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,6.35104523897171,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,103.41197402954101,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,671.933340250651,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,2.049802041053772,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,4.2168769359588625,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,14.597075271606446,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7801584720611572,0.2727272727272727
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,2.2061013698577883,0.045454545454545456
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,20.489606666564942,0.18181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.7766509056091309,0.3181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,2.3140398263931274,0.045454545454545456
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,2.608855724334717,0.2727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,23.92657996982336,0.0
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,108.55151667249118,0.0
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,1393.8075846354166,0.5
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.7810922741889954,0.16666666666666666
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,26.603210258483887,0.0
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,91.96525611877442,0.3333333333333333
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7780662775039673,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,5.254272365570069,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,81.01712646484376,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.8885258436203003,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.944510817527771,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,59.92587852478027,0.13636363636363635
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,30.21193676710129,0.0
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,263.81584971110027,0.0
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,2067.2728379313153,0.0
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.7709249973297119,0.5
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,36.26816635131836,0.16666666666666666
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,168.3603729248047,0.16666666666666666
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.78869948387146,0.22727272727272727
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,7.975998306274414,0.13636363636363635
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,280.13332214355466,0.09090909090909091
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.8252567648887634,0.22727272727272727
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.91645085811615,0.09090909090909091
ENZYMES,variation_neighborhoods,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,70.0051040649414,0.13636363636363635
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,4.639974094629288,0.0
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,56.868677655945845,0.0
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,269.4230242919922,0.0
