dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,runs,num_layers,batch_size,lr,ave_time,top_10_loss,best_loss
crocodile,variation_neighborhoods,0.1,Gs_train_2_Gs_infer,False,True,512,20,2,128,0.01,0.020119917392730714,0.04271892280757565 +/- 0.000373576543911171,0.04185964615805971
crocodile,variation_neighborhoods,0.1,Gs_train_2_Gs_infer,True,False,512,20,2,128,0.01,0.03998643159866333,0.03726870134988394 +/- 0.0002551562305571787,0.03668200876105658
crocodile,variation_neighborhoods,0.3,Gs_train_2_Gs_infer,False,True,512,20,2,128,0.01,0.0478987455368042,0.01565873196252973 +/- 0.0001508712523490021,0.015324727118122874
crocodile,variation_neighborhoods,0.3,Gs_train_2_Gs_infer,True,False,512,20,2,128,0.01,0.06577988862991332,0.01367127125642971 +/- 0.00011319950496563102,0.013438865311806809
crocodile,variation_neighborhoods,0.5,Gs_train_2_Gs_infer,False,True,512,20,2,128,0.01,0.08982090950012207,0.009525379084047004 +/- 6.220896527323515e-05,0.009411906909818295
crocodile,variation_neighborhoods,0.5,Gs_train_2_Gs_infer,True,False,512,20,2,128,0.01,0.10396188497543335,0.00847778655481537 +/- 9.525059130621334e-05,0.008241863648445695
crocodile,variation_neighborhoods,0.7,Gs_train_2_Gs_infer,False,True,512,20,2,128,0.01,0.1263333797454834,0.006364045479570613 +/- 3.676078934631839e-05,0.006307766608859948
crocodile,variation_neighborhoods,0.7,Gs_train_2_Gs_infer,True,False,512,20,2,128,0.01,0.13126403093338013,0.006031864270234016 +/- 4.969082406463855e-05,0.005917376857997159
crocodile,variation_neighborhoods,0.9,Gs_train_2_Gs_infer,False,True,512,20,2,128,0.01,0.16950111389160155,0.005012491550890652 +/- 2.802185639717278e-05,0.004964851928211998
crocodile,variation_neighborhoods,0.9,Gs_train_2_Gs_infer,True,False,512,20,2,128,0.01,0.16197770833969116,0.004871076797904144 +/- 2.379578672136709e-05,0.004830460659468749
### (10/08)
crocodile,variation_neighborhoods,0.5,True,False,512,5,2,128,0.01,0.13062705993652343,0.007945232424582229 +/- 0.0001667660565356037,0.007752628583555284
crocodile,variation_neighborhoods,0.5,False,True,512,5,2,128,0.01,0.10053486824035644,0.007892193727542693 +/- 9.654216486080162e-05,0.007746389813167393
