dataset,experiment,hidden,runs,num_layers,lr,epochs,avg_time,top_10_acc,best_acc
cora,few,512,20,2,0.01,100,0.016505742073059083,0.44479361390390537 +/- 0.013813795731052715,0.47208609104228766
citeseer,few,512,20,2,0.01,100,0.00227508544921875,0.7509692671394801 +/- 0.002017644283059294,0.7543735224586289
cora,few,512,20,2,0.01,100,0.016646981239318848,0.48901631890062147 +/- 0.0040766355182603525,0.4990653261253979
citeseer,few,512,20,2,0.01,100,0.002364051342010498,0.7570449172576833 +/- 0.004537590894119976,0.7692671394799054
cora,few,512,20,2,0.01,100,0.016678202152252197,0.46904966402263426 +/- 0.005218234222767856,0.4779972717627444
citeseer,few,512,20,2,0.01,100,0.0022950291633605955,0.7652718676122932 +/- 0.005526507227377369,0.7725768321513002
cora,few,512,20,2,0.01,100,0.011509716510772705,0.6989290989660265 +/- 0.005653786538011738,0.7112259970457903
citeseer,few,512,20,2,0.01,100,0.002848029136657715,0.5945596633603847 +/- 0.002849724586389234,0.5999398857829876
### (11/08)
cora,fixed,512,20,2,0.01,100,0.002148568630218506,0.8133677991137371 +/- 0.0015243550546935052,0.8168389955686853
cora,few,512,20,2,0.01,100,0.0021278858184814453,0.7439438700147709 +/- 0.005922711665240996,0.7540620384047267
citeseer,fixed,512,20,2,0.01,100,0.0025816917419433593,0.6786895100691314 +/- 0.006909213351701639,0.6862037871956718
citeseer,few,512,20,2,0.01,100,0.002464616298675537,0.5377817853922453 +/- 0.00411639755113196,0.5446348061316502
pubmed,fixed,512,20,2,0.01,100,0.0035799264907836912,0.7697773494953593 +/- 0.0011911740645767477,0.7725313181518486
pubmed,few,512,20,2,0.01,100,0.003695082664489746,0.7056753055738703 +/- 0.007632924485683356,0.7189734746665314
dblp,few,512,20,2,0.01,100,0.0048592209815979,0.6474881463084217 +/- 0.01933248018341119,0.7011176337773763
dblp,random,512,20,2,0.01,100,0.0048635005950927734,0.7293350643486114 +/- 0.0042517442193151875,0.7356062316550012
Physics,few,512,20,2,0.01,100,0.025637364387512206,0.8799785463717276 +/- 0.004786186912747706,0.891340271939234
Physics,random,512,20,2,0.01,100,0.025731348991394044,0.9180181486098629 +/- 0.0019121486312318895,0.9212593859623692
