dataset,coarsening_method,coarsening_ratio,experiment,exp_setup,extra_nodes,cluster_node,hidden,runs,num_layers,batch_size,lr,ave_acc,ave_time,top_10_acc,best_acc,top_10_loss,best_loss
pubmed,variation_neighborhoods,0.5,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6639390088945362 +/- 0.03980033769920543,0.12362160682678222,0.6639390088945362 +/- 0.03980033769920543, 0.7254891994917407, 0.030290322120373064 +/- 0.011060398169233078, 0.015536864598592123
pubmed,variation_neighborhoods,0.5,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.7292 +/- 0.006852736679604732,0.12877249717712402,0.7292 +/- 0.006852736679604732, 0.741, 0.030042553559327733 +/- 0.0013524227195102897, 0.027840501222855005
pubmed,variation_neighborhoods,0.5,few,Gc_train_2_Gs_infer,True,False,512,5,2,128,0.01,0.7051963224462843 +/- 0.034574581591029246,0.1425629138946533,0.7051963224462843 +/- 0.034574581591029246, 0.7547112307614161, 0.015060271208102887 +/- 0.005514996227804319, 0.009385328262280196
pubmed,variation_neighborhoods,0.5,fixed,Gc_train_2_Gs_infer,True,False,512,5,2,128,0.01,0.7343999999999999 +/- 0.002332380757938122,0.18669819831848145,0.7343999999999999 +/- 0.0023323807579381226, 0.738, 0.02448959442285391 +/- 0.0006479549394685559, 0.023743796042906933
###
pubmed,variation_neighborhoods,0.1,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6270748576078112 +/- 0.11685922888314222,0.03351898193359375,0.6270748576078112 +/- 0.11685922888314222, 0.7520341741253052, 0.09766517281532287 +/- 0.03585155396160066, 0.0679015964269638
pubmed,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.704 +/- 0.022882307575941695,0.03267745971679688,0.704 +/- 0.022882307575941695, 0.738, 0.09692412614822388 +/- 0.011595537884248486, 0.07609610259532928
pubmed,variation_neighborhoods,0.3,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6760888346800834 +/- 0.03808203163016082,0.0832674503326416,0.6760888346800834 +/- 0.03808203163016082, 0.7036641764496621, 0.06113591194152832 +/- 0.021706630624969872, 0.044852185756602186
pubmed,variation_neighborhoods,0.3,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6778 +/- 0.013496666255042375,0.07727999687194824,0.6778000000000001 +/- 0.013496666255042375, 0.695, 0.02316358241629093 +/- 0.003424412211921084, 0.018187316174202776
pubmed,variation_neighborhoods,0.5,fixed,Gs_train_2_Gs_infer,True,False,512,3,2,128,0.01,0.7593333333333333 +/- 0.02932954520994527,0.1394979159037272,0.7593333333333333 +/- 0.02932954520994527, 0.783, 0.008533172882520236 +/- 8.612930738684901e-05, 0.008460402488708496
